"time","temp","dtemp/dtime","state"
0,15,-1.5,Heating
1,13.5,12.5,Heating
2,26.0,0.0,No heating
3,26.0,-2.6,No heating
4,23.4,-2.34,No heating
5,21.06,-2.106,No heating
6,18.954,-1.8954000000000002,Heating
7,17.058600000000002,8.941399999999998,Heating
8,26.0,0.0,No heating
9,26.0,-2.6,No heating
10,23.4,-2.34,No heating
11,21.06,-2.106,No heating
12,18.954,-1.8954000000000002,Heating
13,17.058600000000002,8.941399999999998,Heating
14,26.0,0.0,No heating
15,26.0,-2.6,No heating
16,23.4,-2.34,No heating
17,21.06,-2.106,No heating
18,18.954,-1.8954000000000002,Heating
19,17.058600000000002,8.941399999999998,Heating
20,26.0,0.0,No heating
21,26.0,-2.6,No heating
22,23.4,-2.34,No heating
23,21.06,-2.106,No heating
24,18.954,-1.8954000000000002,Heating
25,17.058600000000002,8.941399999999998,Heating
26,26.0,0.0,No heating
27,26.0,-2.6,No heating
28,23.4,-2.34,No heating
29,21.06,-2.106,No heating
30,18.954,-1.8954000000000002,Heating
31,17.058600000000002,8.941399999999998,Heating
32,26.0,0.0,No heating
33,26.0,-2.6,No heating
34,23.4,-2.34,No heating
35,21.06,-2.106,No heating
36,18.954,-1.8954000000000002,Heating
37,17.058600000000002,8.941399999999998,Heating
38,26.0,0.0,No heating
39,26.0,-2.6,No heating
40,23.4,-2.34,No heating
41,21.06,-2.106,No heating
42,18.954,-1.8954000000000002,Heating
43,17.058600000000002,8.941399999999998,Heating
44,26.0,0.0,No heating
45,26.0,-2.6,No heating
46,23.4,-2.34,No heating
47,21.06,-2.106,No heating
48,18.954,-1.8954000000000002,Heating
49,17.058600000000002,8.941399999999998,Heating
50,26.0,0.0,No heating
51,26.0,-2.6,No heating
52,23.4,-2.34,No heating
53,21.06,-2.106,No heating
54,18.954,-1.8954000000000002,Heating
55,17.058600000000002,8.941399999999998,Heating
56,26.0,0.0,No heating
57,26.0,-2.6,No heating
58,23.4,-2.34,No heating
59,21.06,-2.106,No heating
60,18.954,-1.8954000000000002,Heating
61,17.058600000000002,8.941399999999998,Heating
62,26.0,0.0,No heating
63,26.0,-2.6,No heating
64,23.4,-2.34,No heating
65,21.06,-2.106,No heating
66,18.954,-1.8954000000000002,Heating
67,17.058600000000002,8.941399999999998,Heating
68,26.0,0.0,No heating
69,26.0,-2.6,No heating
70,23.4,-2.34,No heating
71,21.06,-2.106,No heating
72,18.954,-1.8954000000000002,Heating
73,17.058600000000002,8.941399999999998,Heating
74,26.0,0.0,No heating
75,26.0,-2.6,No heating
76,23.4,-2.34,No heating
77,21.06,-2.106,No heating
78,18.954,-1.8954000000000002,Heating
79,17.058600000000002,8.941399999999998,Heating
80,26.0,0.0,No heating
81,26.0,-2.6,No heating
82,23.4,-2.34,No heating
83,21.06,-2.106,No heating
84,18.954,-1.8954000000000002,Heating
85,17.058600000000002,8.941399999999998,Heating
86,26.0,0.0,No heating
87,26.0,-2.6,No heating
88,23.4,-2.34,No heating
89,21.06,-2.106,No heating
90,18.954,-1.8954000000000002,Heating
91,17.058600000000002,8.941399999999998,Heating
92,26.0,0.0,No heating
93,26.0,-2.6,No heating
94,23.4,-2.34,No heating
95,21.06,-2.106,No heating
96,18.954,-1.8954000000000002,Heating
97,17.058600000000002,8.941399999999998,Heating
98,26.0,0.0,No heating
99,26.0,-2.6,No heating
100,23.4,-2.34,No heating
101,21.06,-2.106,No heating
102,18.954,-1.8954000000000002,Heating
103,17.058600000000002,8.941399999999998,Heating
104,26.0,0.0,No heating
105,26.0,-2.6,No heating
106,23.4,-2.34,No heating
107,21.06,-2.106,No heating
108,18.954,-1.8954000000000002,Heating
109,17.058600000000002,8.941399999999998,Heating
110,26.0,0.0,No heating
111,26.0,-2.6,No heating
112,23.4,-2.34,No heating
113,21.06,-2.106,No heating
114,18.954,-1.8954000000000002,Heating
115,17.058600000000002,8.941399999999998,Heating
116,26.0,0.0,No heating
117,26.0,-2.6,No heating
118,23.4,-2.34,No heating
119,21.06,-2.106,No heating
120,18.954,-1.8954000000000002,Heating
121,17.058600000000002,8.941399999999998,Heating
122,26.0,0.0,No heating
123,26.0,-2.6,No heating
124,23.4,-2.34,No heating
125,21.06,-2.106,No heating
126,18.954,-1.8954000000000002,Heating
127,17.058600000000002,8.941399999999998,Heating
128,26.0,0.0,No heating
129,26.0,-2.6,No heating
130,23.4,-2.34,No heating
131,21.06,-2.106,No heating
132,18.954,-1.8954000000000002,Heating
133,17.058600000000002,8.941399999999998,Heating
134,26.0,0.0,No heating
135,26.0,-2.6,No heating
136,23.4,-2.34,No heating
137,21.06,-2.106,No heating
138,18.954,-1.8954000000000002,Heating
139,17.058600000000002,8.941399999999998,Heating
140,26.0,0.0,No heating
141,26.0,-2.6,No heating
142,23.4,-2.34,No heating
143,21.06,-2.106,No heating
144,18.954,-1.8954000000000002,Heating
145,17.058600000000002,8.941399999999998,Heating
146,26.0,0.0,No heating
147,26.0,-2.6,No heating
148,23.4,-2.34,No heating
149,21.06,-2.106,No heating
150,18.954,-1.8954000000000002,Heating
151,17.058600000000002,8.941399999999998,Heating
152,26.0,0.0,No heating
153,26.0,-2.6,No heating
154,23.4,-2.34,No heating
155,21.06,-2.106,No heating
156,18.954,-1.8954000000000002,Heating
157,17.058600000000002,8.941399999999998,Heating
158,26.0,0.0,No heating
159,26.0,-2.6,No heating
160,23.4,-2.34,No heating
161,21.06,-2.106,No heating
162,18.954,-1.8954000000000002,Heating
163,17.058600000000002,8.941399999999998,Heating
164,26.0,0.0,No heating
165,26.0,-2.6,No heating
166,23.4,-2.34,No heating
167,21.06,-2.106,No heating
168,18.954,-1.8954000000000002,Heating
169,17.058600000000002,8.941399999999998,Heating
170,26.0,0.0,No heating
171,26.0,-2.6,No heating
172,23.4,-2.34,No heating
173,21.06,-2.106,No heating
174,18.954,-1.8954000000000002,Heating
175,17.058600000000002,8.941399999999998,Heating
176,26.0,0.0,No heating
177,26.0,-2.6,No heating
178,23.4,-2.34,No heating
179,21.06,-2.106,No heating
180,18.954,-1.8954000000000002,Heating
181,17.058600000000002,8.941399999999998,Heating
182,26.0,0.0,No heating
183,26.0,-2.6,No heating
184,23.4,-2.34,No heating
185,21.06,-2.106,No heating
186,18.954,-1.8954000000000002,Heating
187,17.058600000000002,8.941399999999998,Heating
188,26.0,0.0,No heating
189,26.0,-2.6,No heating
190,23.4,-2.34,No heating
191,21.06,-2.106,No heating
192,18.954,-1.8954000000000002,Heating
193,17.058600000000002,8.941399999999998,Heating
194,26.0,0.0,No heating
195,26.0,-2.6,No heating
196,23.4,-2.34,No heating
197,21.06,-2.106,No heating
198,18.954,-1.8954000000000002,Heating
199,17.058600000000002,8.941399999999998,Heating
200,26.0,0.0,No heating
201,26.0,-2.6,No heating
202,23.4,-2.34,No heating
203,21.06,-2.106,No heating
204,18.954,-1.8954000000000002,Heating
205,17.058600000000002,8.941399999999998,Heating
206,26.0,0.0,No heating
207,26.0,-2.6,No heating
208,23.4,-2.34,No heating
209,21.06,-2.106,No heating
210,18.954,-1.8954000000000002,Heating
211,17.058600000000002,8.941399999999998,Heating
212,26.0,0.0,No heating
213,26.0,-2.6,No heating
214,23.4,-2.34,No heating
215,21.06,-2.106,No heating
216,18.954,-1.8954000000000002,Heating
217,17.058600000000002,8.941399999999998,Heating
218,26.0,0.0,No heating
219,26.0,-2.6,No heating
220,23.4,-2.34,No heating
221,21.06,-2.106,No heating
222,18.954,-1.8954000000000002,Heating
223,17.058600000000002,8.941399999999998,Heating
224,26.0,0.0,No heating
225,26.0,-2.6,No heating
226,23.4,-2.34,No heating
227,21.06,-2.106,No heating
228,18.954,-1.8954000000000002,Heating
229,17.058600000000002,8.941399999999998,Heating
230,26.0,0.0,No heating
231,26.0,-2.6,No heating
232,23.4,-2.34,No heating
233,21.06,-2.106,No heating
234,18.954,-1.8954000000000002,Heating
235,17.058600000000002,8.941399999999998,Heating
236,26.0,0.0,No heating
237,26.0,-2.6,No heating
238,23.4,-2.34,No heating
239,21.06,-2.106,No heating
240,18.954,-1.8954000000000002,Heating
241,17.058600000000002,8.941399999999998,Heating
242,26.0,0.0,No heating
243,26.0,-2.6,No heating
244,23.4,-2.34,No heating
245,21.06,-2.106,No heating
246,18.954,-1.8954000000000002,Heating
247,17.058600000000002,8.941399999999998,Heating
248,26.0,0.0,No heating
249,26.0,-2.6,No heating
250,23.4,-2.34,No heating
251,21.06,-2.106,No heating
252,18.954,-1.8954000000000002,Heating
253,17.058600000000002,8.941399999999998,Heating
254,26.0,0.0,No heating
255,26.0,-2.6,No heating
256,23.4,-2.34,No heating
257,21.06,-2.106,No heating
258,18.954,-1.8954000000000002,Heating
259,17.058600000000002,8.941399999999998,Heating
260,26.0,0.0,No heating
261,26.0,-2.6,No heating
262,23.4,-2.34,No heating
263,21.06,-2.106,No heating
264,18.954,-1.8954000000000002,Heating
265,17.058600000000002,8.941399999999998,Heating
266,26.0,0.0,No heating
267,26.0,-2.6,No heating
268,23.4,-2.34,No heating
269,21.06,-2.106,No heating
270,18.954,-1.8954000000000002,Heating
271,17.058600000000002,8.941399999999998,Heating
272,26.0,0.0,No heating
273,26.0,-2.6,No heating
274,23.4,-2.34,No heating
275,21.06,-2.106,No heating
276,18.954,-1.8954000000000002,Heating
277,17.058600000000002,8.941399999999998,Heating
278,26.0,0.0,No heating
279,26.0,-2.6,No heating
280,23.4,-2.34,No heating
281,21.06,-2.106,No heating
282,18.954,-1.8954000000000002,Heating
283,17.058600000000002,8.941399999999998,Heating
284,26.0,0.0,No heating
285,26.0,-2.6,No heating
286,23.4,-2.34,No heating
287,21.06,-2.106,No heating
288,18.954,-1.8954000000000002,Heating
289,17.058600000000002,8.941399999999998,Heating
290,26.0,0.0,No heating
291,26.0,-2.6,No heating
292,23.4,-2.34,No heating
293,21.06,-2.106,No heating
294,18.954,-1.8954000000000002,Heating
295,17.058600000000002,8.941399999999998,Heating
296,26.0,0.0,No heating
297,26.0,-2.6,No heating
298,23.4,-2.34,No heating
299,21.06,-2.106,No heating
300,18.954,-1.8954000000000002,Heating
301,17.058600000000002,8.941399999999998,Heating
302,26.0,0.0,No heating
303,26.0,-2.6,No heating
304,23.4,-2.34,No heating
305,21.06,-2.106,No heating
306,18.954,-1.8954000000000002,Heating
307,17.058600000000002,8.941399999999998,Heating
308,26.0,0.0,No heating
309,26.0,-2.6,No heating
310,23.4,-2.34,No heating
311,21.06,-2.106,No heating
312,18.954,-1.8954000000000002,Heating
313,17.058600000000002,8.941399999999998,Heating
314,26.0,0.0,No heating
315,26.0,-2.6,No heating
316,23.4,-2.34,No heating
317,21.06,-2.106,No heating
318,18.954,-1.8954000000000002,Heating
319,17.058600000000002,8.941399999999998,Heating
320,26.0,0.0,No heating
321,26.0,-2.6,No heating
322,23.4,-2.34,No heating
323,21.06,-2.106,No heating
324,18.954,-1.8954000000000002,Heating
325,17.058600000000002,8.941399999999998,Heating
326,26.0,0.0,No heating
327,26.0,-2.6,No heating
328,23.4,-2.34,No heating
329,21.06,-2.106,No heating
330,18.954,-1.8954000000000002,Heating
331,17.058600000000002,8.941399999999998,Heating
332,26.0,0.0,No heating
333,26.0,-2.6,No heating
334,23.4,-2.34,No heating
335,21.06,-2.106,No heating
336,18.954,-1.8954000000000002,Heating
337,17.058600000000002,8.941399999999998,Heating
338,26.0,0.0,No heating
339,26.0,-2.6,No heating
340,23.4,-2.34,No heating
341,21.06,-2.106,No heating
342,18.954,-1.8954000000000002,Heating
343,17.058600000000002,8.941399999999998,Heating
344,26.0,0.0,No heating
345,26.0,-2.6,No heating
346,23.4,-2.34,No heating
347,21.06,-2.106,No heating
348,18.954,-1.8954000000000002,Heating
349,17.058600000000002,8.941399999999998,Heating
350,26.0,0.0,No heating
