time,x,y
0,1,1
10,11,1.000000000000000000000000000000000000000000000000000000
20,21.000000000000000000000000000000000000000000000000000000,3600.999999999999866773237044981215149164199829101562500000000000000000000000000000000000000000000000000000000000
30,36030.999999999998667732370449812151491641998291015625000000000000000000000000000000000000000000000000000000000000,-4721998.999999999649391568823375571042319587290266339959260663582986394803953089649439789354801177978515625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
40,-47183958.999999996495247955863305898271704230904372383967606635829863948039530896494397893548011779785156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,18531094107284397.573112281953355205213464911933384114186753666768460476171419127909218066469135641062382033077795220606380441821100384331130032121744941414640053219384403530791321401518926355948913441701985754173582955915992528939106875895959092304110527038574218750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
50,185310941025660016.731122823038304096271343221062136910963164283716998125884327331052649768196958517075808550992795956063804418211003843311300321217449414146400532193844035307913214015189263559489134417019857541735829559159925289391068758959590923041105270385742187500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-123768769446111229583298171393611.5206681138671584716887659829585540275214767664048350757380441015287276751056605712009610296440255520944013151349033531018908945046519844298471265773377853896850992438220014626417258377160347321620791314314282674576285928598751380222343257974167594047706197447565838096781283181515423689822255541720797679414915714894943342447291852849214533470301631651879847725049742441392812663155498434640219329934297172522227920012787506419735309232959983174987703884260131781402947126480285078287124633789062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
60,-1237687694461112110522040688276098.475558315633280620616316608523403364251603380331352631496113684234626982859647194933801745447459564880208733138029687707608623829070430152070733579533818588937778423030751066928123960140489779884961755154357385185217169639160457181237987588425406547706197447565838096781283181515423689822255541720797679414915714894943342447291852849214533470301631651879847725049742441392812663155498434640219329934297172522227920012787506419735309232959983174987703884260131781402947126480285078287124633789062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,12750712417186996326780062091655965273826657411276284164518519057898.00563009207266612004949416560679153706679115178521101508805550390366220616997333902001816085241899266374423380272907358174276571355575598398614888113666122697094267876641513175380539180081003763100294181834262604204005561404155824081281927794919403046161514667367255389271404176397007203689705626310129740750202372583939404551820491993582471254360992281394636823841566077422937486043289762968448335154656847941235093246634299502458272616966721465563840152692247991203557712503548856046875055527277533209373337241291560010847747033563227503868416205053082905639592889991130240622563438523250701813769918301613608680495011722175134658032388636044358561071576461856370585815884224711750552865419369478491276071953296593971422111896022555394630763935955732691464803102345657105377842311597149791160391925474362840645474775346229399046235393077862187982153078800534604532853431157146306241149328063942870829183436639555228549100323123839
70,127507124171869963267800620916559651500578879651650731123144502302881.5807426050933805798786250475445120064163081375207575193844413548019950788400861952663798630767303617572336048892610481098190333064871296877907552318327936807716483646334002506099299578676105964250676630290688752351833865012551252268902051910665337569099540191708874421458572361242770305467150209102152946601045223634505980078901963501437136551344675762596159573344141663494810854488305416566255035811685122718955893118759235305105180287366889715686801310090930177174086447700698073175628717636652533209373337241291560010847747033563227503868416205053082905639592889991130240622563438523250701813769918301613608680495011722175134658032388636044358561071576461856370585815884224711750552865419369478491276071953296593971422111896022555394630763935955732691464803102345657105377842311597149791160391925474362840645474775346229399046235393077862187982153078800534604532853431157146306241149328063942870829183436639555228549100323123839,-58597333203353272918171431830209940549522430951561347782616927050963918305679595844761679192315341219419452963138224797160997314882508.99353349605904803613852477463013031668535007834167069976985401002003587249640455041534638341072784528902655409816667815500517244208462437178742983080667158517750496710967682115813318013598968438811788160343068660774036435574682472728966231507289227674861358534481486350801139123975640221551081204591134515270273753561385578714745813274249862111183684305745505083872804414575185741297512718455391088292651706251860403013651564624060328079117858261521896613459877961586541616917002742716168603106179691252039853323412716211783866304856737197691767588412663727821220765744654522528321886128511811576943693065963250428965040832257799790657431473522258748729180393391434580603719947214515828726097750170453783438349541944207444859436004782506378854616524776533667261209082084992970127316801780609151604326623562351489107307597411170302828803743520948871549732984354594580
80,-585973332033532729181714318302099405495224309515613477826169270509511675932624088484348991302236852542693950751730597240486828646522208.3545923554970997815066226987567911604371926458959494783140987453983636461239593088870839710305480911330319360924057334402326911143591140300835430762339221710034013064633679609714018434922862474561111530052379908422202570562131220460064179596623890105761818342772611929342566762732869916083930995488981568669228529926879598635843849772812725559839008543149345510528662751080374886809207301889136052480966583532904509894892329318955147791750968545835095303368947784412455169216304669540539885469527158042666516082121156200936119271293509693823351383359580822181627875753524281905758447605261109763173774764349641748470029110082665132625042837477900187657603931535063994787835722502765275860678380691962507366396245350236022747539982227111748090680569043842202458106736427887592285005204630817991212401149199510843632532251181771256593410665658760889396654183819990047,2858038057549890756457074718267541738672150164797670816554393826408993241930718150174159485933125224682825946826957108443755275042857283147422594561728458663627695210460175342224413378321587801315394300221882043993163817663473140670603189453827112847192677287356208825077.790851626552798270689117270092676398757520430343143183024520468483358549490596680677404185948134836061259927847944525871773681489637112117477002920266433393079767310093448221864656427434299858116138597255131534610227813056278593406821723300564398184138294273451071221456955269476038921990516179818879191444371641236345631957120609950870967027345061349133923748105554158495218653671557039729981956613244766513991589928747279418972109500738666930293592554378018395342847309279428553283680406144316219128878279369005314996244926166643344495775389820650794934106622809679570475959514015229263487749034788959596264481316636425247653857651455504527852716971872895404606640594276763569700219718459902273254774254736104279205616842033898
90,28580380575498907564570747182675417386721501647976708165543938264089932419307181501741594859331252246828259468269571084437552750428572830888252613583751857454562633802502347927019824267602400186984672492707144507307549692285740104469179351844320376741329532386733441728569.55392391003088292538455000216997282713801165753548235193110593943522184878200749788695788845080026947956734238703952527750412378201200714468648612643041175979427179447111425767516243085071233370527481954607735526005787350657281202221081504598159283080676090023345102163529601848710222829676869863989375757679355937076835970762171453142839771746671263702430293000267530984414904803464966711090596088435100678662544829798356125782558022821157244835241601344328917498722757587265506588275007289620947548451614208184103434235564973930409398837156306817199125884806530922035233140456430753210876651403051211952768063831936134146827206325205076153073715095296856089256000646398406344672566959853118466335149181072141825703256614558498,-2944048533819156471108154149680205759569147866358066845240322698493984989217351875341657556678765270535210527618501700716779594640972009819084598576634080197396373168017666142517843085830614131508048984609532118938406524154896909720830916728841929162782398045791115866213887158176327835521100840713130002688328955079047694878142151268580260170145911798056486391623695959765465234368634688084827305413957065187016649645376273602453619072095224203164359352623618168857621422537216766957808481846198274921597046893629354813064736831014552795643.522275836643718070479213793569527839187580023566792654934645217576103026504097597072245521770086896754384238620352416897710032564350566499615830513740392861739834352629048927211249973057389135821985487056957510357409575112361179115333981569348526809756117456564914833729208287565027392252730049246004596311665440541337482746549367395974977810692296124742594297973239560949749989171764976335114351064567287767368211454453958440922637259098842171000217888455213
