time,x,dxdtime
0,1,1
0.1,1.1000000000000000055511151231257827021181583404541015625,1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.2,1.20000000000000001110223024625156540423631668090820312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.0006300000000000000832667268468867426888139128205155762260304281548015119605879154748837270082067215967321486904239020464496502318159854916131953931265180227463737292877077621947057560757376708149422451042850935681801367838212243606237084048160568272578530013561248779296875000000000000000000000000000000000000000000000000000000
0.3,1.30006300000000001666516924458960602418791403905177894581439865024889863262074181436987178831057956357152294432827332786467610432794259305338804403796481690746489327960694705901955475638557214536098479049861235055714014150899018552971677811126008017863336044159825914544511005963636706100720885626031986248563043773174285888671875000000000000000000000000000000000000000000000000000000,1.003261684000000000436781499857374922696943929133437496181287227017606554832342428268249574426018473325366889561289870607673133201713629894230217385980838081761171651757432648227132725593407788443060489169233278033167795835523919308611734403042151131543683258732706626289539965168831006061494473380717693719461765317301569004126142256194280381228316508627558674359620723892763196392373680705988281888456874780505463848681296968397910766482293513094303447075184010373050114139914512634277343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0.4,1.4003891684000000222780685010803836164273667249475857874845526234143880118599013168031472340362086238378195885779050303562684271235816611744078908160913645690088304580832616804224702700461904637149678652763021891005559943061100597548607239415344289925513080829681902323506803237930814668358667497207619724577509540520796620129292963588227942616741779998165524021131168706297860137887440150733174593140504537525245233154542727966696002914179061263786860726659661729692954283698292393292590082282928633754378808240481646407715743407607078552246093750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1.009406929758206957968444504811224455166272381630506691384853646612731569727488461548225748810175191688652253980559010732563457777011085440525142752621121172397467954455923772598687086860113857349147642855525158875638824407929248436548081430394724159779163990289380929264607439680891010365431510536973690967873298905056283923924115418488381012459041472715653686780673703920661203720324563647140598449615716958853076615178176919237016960511754036785751953727024424531139683630382645504858333766514566353515483971420294790384806859288993494720317049056848661196265715098909251723508521584724110524215517802489125182584036198702961583675840993128171973482243645717907381133536748176088787988929315912565823195947393140473948244385338002296803558184394712189641293909035675671366178459092132845847043950996104044407385552240869427809772014837015747269718067301456712000041770368016995542835756778316335246928810703003299737374861824578005305724021182943157458215233408834453043984928000904083927840915911
0.5,1.501329861375820723678247024730253370848232936066041769927706599063744631280432312313591413328454849407343979286741159475165722179205222830523709567035752951368755572702976265547945785230127348897687287988573372757524040047815303242473844098600372093675962655155782885285725702402713196017545639428124313204905530517492205595412996221168474819140511023935451538971107541765067447133508516080192770807142139321849261957442572828560536280524484730597043475593830527881072449032948393608782320592753257362935427191725036952941816043065449628154810392811012422727880546748992450459082722375873128964783822973421340382792981890482078153182178257645447265001087397074032348891900050054857785005563361633077245272247237495995494522215195279250014269329160264206546669594169381525754564218138934833282407616220562170067943282218524156693666735511842632134739955503918809647522711266879690708477550343457618961159423871539280545204979854527081235050212794372853776763618795335132480961158175915914656984995268,1.020680001273850584444548104335734549316445749161151603030824913481583033835312444391344141720016064602718260201167975374507101668195097776816280724499141255937259508692556657867113661768996578234436162242018143373968491277899406998965195234180098331113764190804049952791266772302439711253561588827300675724890221624915365723326476724028040729363981744456847526741352323181477332068252797219113244720292132387986139572053444244456858760286512550047147950826030391048203584871837746958950076490610610667390733716437090548775721047360953955927137890605865408252721000306196071728073925397706084754103469369880173282053100038749882532764281717375645155069662505183038222015259908183207577949584353867628059389325458718354003570871588166742154567926856588020964874480237209835864587318843981074871164671515985405279374908280645139190055748536363285218521742806891317270673991418803839470719812528262965600969116223673684583119097432989411002054699081991256058600539632163381095372479512625775702511848269
0.6,1.603397861503205787788614026107141958090587271402157739844182174803475647523121699057125923053533046434970623702120899037854584374279341482835951453430345362369882501325317389119264203810655485880898542058824148300568999537615845923559488086759023738826758187037598025594077358074519037840024582470635460335374867307672874107083382895450645584262138002849451366172459566920282456270909318534679983920879754149791342208866973065071752820828829439119752730135564985003245000715214084949281524983121224461595767708473819730345365592338330260518733595807600005670837017714524566812654300695576831263395617522912962556408453987835552396292821286745918754412889027886074477614574032335852208249011932580948100720031152401810541736468048749015475322674074707535463094630611865589446203880620207417895921483889155011447654173242595147079447515449910444327738678273043771603925913845541675121015586139955871337364015499389851565500848340932407666584668640650620021354033193341149962981766037381480720160980089,1.038761924320585710668001823533381297634438530314851722274358588281166001480187379714983171209192022615683176995096937175132922605971040080240872151352288497308409638131364815918813148930606120512233167517717087847580007879113941967435544979699772871919721186766684045771256209269097435826643610354466499103492647241025651122572878392316475561319324644135453118899729488645928548043316326257123826674443016146752688063299400227812052660060331109710991643621167941828663358422600396590446993007888301925832163148685843050863490379828445154079206290512671356196482371311852882111510459904373644748205182008692803530930465863076970050335169795000014029471639666614592542359586204131297677116672640522155990138132854651414557342317122378362785463689746222043570532590969671552051186448833965136062441143958867937011519333991734370305205276685703278880969991905265290999212687411643008147836586274798024882740668787858912470601295859615444347954252131698935823079620082120418402017633967934106149055930121
0.7,1.707274053935264364621701235883723208259379649256414071300205880404175296821728213656276462891728411879487737501433353537568043829859072713919532383556361030236450526924889643330196240832184864151028813004664330371649970985156367239419895619481291097634601329526509952935552096165302472668258159069861062387593205911798778423481486324074809637223949527003492158138441832409700323461051340241704122183652973360331018925513587424782535021305539723230174674614976430972095661851295030489781589769833661084503007298069045009685209731862769550209751215225133229765187302799596652641957836115995896032888221941398027752856931555485293667464728845808209943075441756958038759160090424583021530284549999405939817776789100457284192589307636589355926045248506166294935986593310216028302131095299743767048090914691660571291989725079952069506883882499720583923178660566685791337685873242090377282642123464937463211501053076402495924579232513955737670167368554492456476472822696070273846094423658840423616801786983,1.065371263002799311319993893616352414085890075987554416760205888162886866848984172957645848535950087570900715163748054598577743122251259530795441694309819934304244785722591895340359138125048576190548273013025392417375329617900880101145284155020064050146836230920441376226061646974332832799608316310812747658975802491712584871499817106065952550548033402264435924620375544571972942739534473688051199735425149744969549770481181975145695114298900119864471352970155624699719126416213739095396338365517890881325961229246411537937292169250396651250286876343837773944531733327048065857113943184400286957439052537957577626107068003091997326553522293344268790570545658682534782023723111896763411829740609991337337838062575038159667279334912418098978187468456170411605600208324199689078059899986497441584540460828268972368239002917112937793693335305153140778102619009430297906421673508870941427647851223994326768262918367607162154068618677643021463868421977655029249909923843410793033604423994525808426511799855
0.8,1.813811180235544301667699155043813374289899083322025514619417745402720542687375909827034787591490843570130815964880306983163147219622473250067816441297324095664762798752925501787032784927177184368818325338223534488094817714164521837424745762504612507383911366492586749064778252010755656388441758603933826892598798745397344672266799228912312070866112108436061624158495436716159096303032174458808155956402641487549589040744591012700068511937041130190675448645938895351119409682659959452359896449408327803595993201483152275835201805898295978621008704967334051570154662568001349340394889626119937318138991829643058822588683528965772264380772591361825815294057548880708991637450217307877372590220092853948009757484505744866685562730137204454633306071184806630537559079593540284652784183043871486090742829964811980888040945774778767466897186969198669210342571289850785927004742802791142368455574909659108171750910939162190598513362944176676452739706398209027689414950583283839586952266479434568110639257267,1.102244432200089707400604604279853358997712345817905190608404494852170820389494923228438615353455243098658257834631179507285386964291113601944057675059424766723598224390470066466303865411875166760864638208597326443324507265171984879875539294033697637455243477180662751848590553356991563585211942920703286564065720324434538378368890128674608090453343779380479355105427056130472082093460468936383413418811256293314887132962010723613872386631439485310903374022859687876662900986685915950125218393705296119648608130134141568614106917079625474536065980691483399081677236440387211513946934407486278868140960282833820748576494125374973404234195781653089773276997667382249286210375732055145531689058267585015096596636151194801381059963600596286227284054713938525489219267127171944519905895280683713279183715237231758691095548314258417857368278669561729725405982017238147664698394255199953030264688227550662395690135710876095955780044673404873388061249618337572891790687355533054682683763542948724158430331457
0.9,1.924035623455553278526445352438908129974634016987914049191295243628871935759341031450574110602853275591661443251099237105667458309636351001708833033010184139140641620074592895745445912839545075536604646311860835462646085482710134687457747614630095002868417731002634398815934871826924962178611701329689234307142497268460652024310028871993184850489066603806026275276657378204550110073272727722986455890444861749422226277700051631725086669106249580970199512539638713534777197634269227411819016515843212729398796220249551489454755199567379009320202362951673169615250896698051244419996704111195639515334354896666684089747961118423476699709017306315538077560420509506486254679706334339891885109497890952690257547216994571343295423020923816791436778585649522900882416085626917608931740490703465744564932067571664455581754432973808366661622934745633218104114869685453887365712786993584808324254087426747972404602623320511357468584570678658247302617543676490183417624209141342073752402186903906927845842886459,1.151127167854553767954278865207726726926148613894450196855163355880714373492416482555879322204049010040741503752780943778797524995829964761039594863643381810145131805062251034420588311927804322498876909553195732656387255371101413963820886143019716403397204304045504816206834315738560069376147637402253462733207243437922599779206405352482958909933524656039370006434186514525579459185450421700712259739525927740284419399011855308260403955604872809102149436545095526180218736884105966967777532979825950403258951597700136777319450154933860284720730223196067565172126756169263130366984018456223900982960231193363217526799108260032822592711059521256099868552693480719904807783440413132400269741858105501782052939060938397628086330896853873884955627705965074000874318076394495559580705371126780397171019572133647215952520018013029726961102890107496694818066405772936005630825259061398321922183966319137156184394734522499049625685790837590289915827784581099344221885261121014361197430658749062747327573258059
