time,y,dydtime
0,1,0E-54
10,1.000000000000000000000000000000000000000000000000000000,359.999999999999986677323704498121514916419982910156250000000000000000000000000000000000000000000000000000000000
20,3600.999999999999866773237044981215149164199829101562500000000000000000000000000000000000000000000000000000000000,-472559.999999999964925834206042055225746875149009544152176066358298639480395308964943978935480117797851562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
30,-4721998.999999999649391568823375571042319587290266339959260663582986394803953089649439789354801177978515625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1853109411200639.657311228160274677403684048297570370147702000672772113975440552271317115611857543041718321105631084560638044182110038433113003212174494141464005321938440353079132140151892635594891344170198575417358295591599252893910687589595909230411052703857421875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
40,18531094107284397.573112281953355205213464911933384114186753666768460476171419127909218066469135641062382033077795220606380441821100384331130032121744941414640053219384403530791321401518926355948913441701985754173582955915992528939106875895959092304110527038574218750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-12376876944611124811439227867800.90937803958205136769022308948919381417082304331732955519094632294379457415747962122633430627218207727007817569560037374330209266263969258444871797967221889204764206453409278185906392794180204863356620873474207963967354687558342303263448528359909781547706197447565838096781283181515423689822255541720797679414915714894943342447291852849214533470301631651879847725049742441392812663155498434640219329934297172522227920012787506419735309232959983174987703884260131781402947126480285078287124633789062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
50,-123768769446111229583298171393611.5206681138671584716887659829585540275214767664048350757380441015287276751056605712009610296440255520944013151349033531018908945046519844298471265773377853896850992438220014626417258377160347321620791314314282674576285928598751380222343257974167594047706197447565838096781283181515423689822255541720797679414915714894943342447291852849214533470301631651879847725049742441392812663155498434640219329934297172522227920012787506419735309232959983174987703884260131781402947126480285078287124633789062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1275071241718699632678006209165596539759542685738751374781669045150.952629820593982459173826014856534556458826791819004609082609960543238988127563391022097919049644454475814554893763242668363366021820774041383327545847444661665604192258841659439553122951684476979308207324977089349966864847391669626304714507536595343523223489143025636357084235991551244101912261043518106534899359521533372829024739020485727805957377308800193114074338990491351064117598274109370641634497628573163514293374509363699811364946566553215440878995293565805233028977306399638918121393417902533209373337241291560010847747033563227503868416205053082905639592889991130240622563438523250701813769918301613608680495011722175134658032388636044358561071576461856370585815884224711750552865419369478491276071953296593971422111896022555394630763935955732691464803102345657105377842311597149791160391925474362840645474775346229399046235393077862187982153078800534604532853431157146306241149328063942870829183436639555228549100323123839
60,12750712417186996326780062091655965273826657411276284164518519057898.00563009207266612004949416560679153706679115178521101508805550390366220616997333902001816085241899266374423380272907358174276571355575598398614888113666122697094267876641513175380539180081003763100294181834262604204005561404155824081281927794919403046161514667367255389271404176397007203689705626310129740750202372583939404551820491993582471254360992281394636823841566077422937486043289762968448335154656847941235093246634299502458272616966721465563840152692247991203557712503548856046875055527277533209373337241291560010847747033563227503868416205053082905639592889991130240622563438523250701813769918301613608680495011722175134658032388636044358561071576461856370585815884224711750552865419369478491276071953296593971422111896022555394630763935955732691464803102345657105377842311597149791160391925474362840645474775346229399046235393077862187982153078800534604532853431157146306241149328063942870829183436639555228549100323123839,-5859733320335327291817143183020994054952243095156134778261692705097666901809678284108845925440699718469327962054950108132551583394040.699916358813171415618801894023692185375214123012688171485790951392369807866637788943536454426314683795277078790089575173674793815564038035577357871194333281214844764587609195291193857193679972201912082342177331264978041996978838296810248159302208630721022873201848741740072543300372647425240786830901264256020476126145324983266566305267832333365544676587140141907714370491998123227340802481423839423447308554193095496260285864126518600696084579727085736766152125952790099329420551598763043658633457224461413190564704276222631613338419964701560183793465746633460813655735784763150885324651762513390713611367576859109460052554432934448689820109566617309800756855247805166419604171926266381591517119648945059510302838538178866971332027337901009618552480509225132064311427742098347969628398930400311996252097925192134582082943640569349064196821383136853702811784889199113
70,-58597333203353272918171431830209940549522430951561347782616927050963918305679595844761679192315341219419452963138224797160997314882508.99353349605904803613852477463013031668535007834167069976985401002003587249640455041534638341072784528902655409816667815500517244208462437178742983080667158517750496710967682115813318013598968438811788160343068660774036435574682472728966231507289227674861358534481486350801139123975640221551081204591134515270273753561385578714745813274249862111183684305745505083872804414575185741297512718455391088292651706251860403013651564624060328079117858261521896613459877961586541616917002742716168603106179691252039853323412716211783866304856737197691767588412663727821220765744654522528321886128511811576943693065963250428965040832257799790657431473522258748729180393391434580603719947214515828726097750170453783438349541944207444859436004782506378854616524776533667261209082084992970127316801780609151604326623562351489107307597411170302828803743520948871549732984354594580,285803805754989075645707471826754173867215016479767081655439382640899324193071815017415948593312522468282594682695710844375527504285728320601992776508173158179912704067011589174684432988293558393232135118580034967275966242515233298594440887328007598541747444835352370758.6784385122611846306827642044722806715442870508684813882794374478503394421987001231092750569358862681350286481946111204026778853931721736489264432751073104978257272277203125043022789607570289542504256478858562221217968177412025418134111385615637290460886907858795886084964966660715795324206026991864790536597074378771959487744268068083613465648456898192191378798944282202640970511084532166914535867496171283576510193958883795065212712781529845512908811520512617174958712725448598580710842092175378016041398677902239442158362764829691911867752307496534921571384835017337017021184797234090548605864804225890255896985606286833570231855558029819263075304459164699338520986400313963041845378005720879774959312089119599698647691290628258
80,2858038057549890756457074718267541738672150164797670816554393826408993241930718150174159485933125224682825946826957108443755275042857283147422594561728458663627695210460175342224413378321587801315394300221882043993163817663473140670603189453827112847192677287356208825077.790851626552798270689117270092676398757520430343143183024520468483358549490596680677404185948134836061259927847944525871773681489637112117477002920266433393079767310093448221864656427434299858116138597255131534610227813056278593406821723300564398184138294273451071221456955269476038921990516179818879191444371641236345631957120609950870967027345061349133923748105554158495218653671557039729981956613244766513991589928747279418972109500738666930293592554378018395342847309279428553283680406144316219128878279369005314996244926166643344495775389820650794934106622809679570475959514015229263487749034788959596264481316636425247653857651455504527852716971872895404606640594276763569700219718459902273254774254736104279205616842033898,-294404853381915647110815414968020575956914786635806684524032269849398498921735187534165755667876527053521052761850170071677959464097200981908459857663408019739637316801766614251784308583061413150804898460953211893840652415489690972083091672884192916278239804579111586621674519623387772627755791543139754442700110524384536569469654509498925341207662994823064587755682118444829118119559179652858258045681434833443924420710473226608131428255539954538877273094520597017301572275909881095097229950967141559220023634745646766025741411837076162072.1313127463196516341168331063662204237945100453909935837959165686059461575994694277749649707718221732815644166468296942769483714053987678617092833434006826254819601662722497149075906400491688993938124084312089044967637388168639772522155704869912924993894411730015986055186163557041066314243246229064883787756037081777683114703669977346845944838037357473876518046078793719444968642843322016065096307677812054281359801383201237859894746759837509101293810442833231
90,-2944048533819156471108154149680205759569147866358066845240322698493984989217351875341657556678765270535210527618501700716779594640972009819084598576634080197396373168017666142517843085830614131508048984609532118938406524154896909720830916728841929162782398045791115866213887158176327835521100840713130002688328955079047694878142151268580260170145911798056486391623695959765465234368634688084827305413957065187016649645376273602453619072095224203164359352623618168857621422537216766957808481846198274921597046893629354813064736831014552795643.522275836643718070479213793569527839187580023566792654934645217576103026504097597072245521770086896754384238620352416897710032564350566499615830513740392861739834352629048927211249973057389135821985487056957510357409575112361179115333981569348526809756117456564914833729208287565027392252730049246004596311665440541337482746549367395974977810692296124742594297973239560949749989171764976335114351064567287767368211454453958440922637259098842171000217888455213,7.214433507543733229618743380168818409122445086681836720017966019975593892624537269955712141992471641690108965358036822999484667716645503279673862356818643541433401832588659084400864961085520749757786376700883431217512538059148778847555517509260765439524983573251351338263044884151616543059687100226069366526012954763142693613216021164328155333437949327513186624779456765198359327514841569092817501627483075085386383353688343263483929112018496002434579854584417860272001462565130017296488035506112270115094397143659014737048366614109855249048285605060865836235235914995700803515534738684564960262913310255968371262125690789533751420845219503179694609248780190152961505914451395545091382969807643678722600045603406999770609079801152050363966233622423855912909819627812164946855314026060137742198007181270358550113705198695277801153317101200952988638961829547844698151164583534045082523325676515591341349625171377087156697678437259798987728137087468382554249395247626635286926426795859998984879456978230E+1082
100,7.214433507543733229618743380168818409122445086681836720017966019975593892624537269955712141992471641690108965358036822999484667716645503279673862356818643541433401832588659084400864961085520749757786376700883431217512538059148778847555517509260765439524983573251351338263044884151616543059687100226069366526012954763142693613216021164328155333437949327513186624779456765198359327514841569092817501627483075085386383353688343263483929112018496002434579854584417860272001462565130017296488035506112270115094397143659014737048366614109855249048282661012332017078764806841551123309775169536698602196068069933269877277136473437658409763288540737909159398721161688452244726319810423535272298371231009598525203672435389333628091236715321436232458184637814323793971413103657268037134483109331295813035224783224567434247491311537101473317796000360239858636273500592765650456286441382776502263155530603793284863233547681127391232444068625110902900831673511317367232745602250361684472807723764774781715097625606E+1083,-1.875916141133104905621493878056777874365013744657900133821397547495840842537636189560733852807254470981164782973191379042846345331815584815394656404926263743853883493407754577442740529322971666894185824232650985538622398257456761851446618254145784917049557489331745291753264442104472323055149440043774335771198229819841042249641654088002774001396693672054749509730402330468683996022912325732913400348761594820625969577526864211757144955435592112688017307400484457636719073901501313439351260048204676410877605566812592641582111787444609711944341790865692161588792681535817267712702744339957985163982686681727415284350746152171264326634567628500229517437466356350549531168808622852765181810250175506044684028377717100403059172441132025572313469496655023802030146287325029639475330352346787585897436304179608768175010258948101480132008193145719947634123549779691786113774971988938304387232279262914364731083423399275632186324133050737194743043032361493253623352179245940344207609325183110108439071623446E+2166
110,-1.875916141133104905621493878056777874365013744657900133821397547495840842537636189560733852807254470981164782973191379042846345331815584815394656404926263743853883493407754577442740529322971666894185824232650985538622398257456761851446618254145784917049557489331745291753264442104472323055149440043774335771198229819841042249641654088002774001396693672054749509730402330468683996022912325732913400348761594820625969577526864211757144955435592112688017307400484457636719073901501313439351260048204676410877605566812592641582111787444609711944341790865692161588792681535817267712702744339957985163982686681727415284350746152171264326634567628500229517437466356350549531168808622852765181810250175506044684028377717100403059172441132025572313469496655023802030146287325029639475330352346787585897436304179608768175010258948101480132008193145719947634123549779691786113774971988938304387232279262914364731083423399275632186324133050737194743043032361493253623352179245940344207609325183110108439071623446E+2167,2.929133360263829682845688117900174277002046865231888264648904925542068856417406217697631313333542808120784281379820890505314140568403830089138389091332472067541306576763619241245588111474886883146272408631573567640330923343487739482178937766942979167659308723213503467027777276897315979348120689623851172708605305119688146351673709057217125289298740714709744349281914671170523360940121593987165642973836997773019435627899564214289860074499583191856594423158476207222535154509475663190558751645272988530655609412987174681443394571371857361526593181268066789069276522605570670597241118654461263389014751695865171175281528946195882718698412138628581261210138294173756725782276059092059528773052224881504068787665634823331824800790231953094252370825579509943539326595282229034452914547355836434267507637895772538823450314363687769736302915641832972317771111471554996377907036475331595471507179704307514721363692813744627661264407864589047115699073551006981206573996092638009612303016935853737411090679210E+4336
120,2.929133360263829682845688117900174277002046865231888264648904925542068856417406217697631313333542808120784281379820890505314140568403830089138389091332472067541306576763619241245588111474886883146272408631573567640330923343487739482178937766942979167659308723213503467027777276897315979348120689623851172708605305119688146351673709057217125289298740714709744349281914671170523360940121593987165642973836997773019435627899564214289860074499583191856594423158476207222535154509475663190558751645272988530655609412987174681443394571371857361526593181268066789069276522605570670597241118654461263389014751695865171175281528946195882718698412138628581261210138294173756725782276059092059528773052224881504068787665634823331824800790231953094252370825579509943539326595282229034452914547355836434267507637895772538823450314363687769736302915641832972317771111471554996377907036475331595471507179704307514721363692813744627661264407864589047115699073551006981206573996092638009612303016935853737411090679210E+4337,-3.092340015442703264642313910487514291076399739995615264433219357998529529936842201193544642766251285220503959635525095433934810962083189198014244292646253180341738008225075565946043567386531621721030748262475963519258111323620972418987940151698568283016208312124131654328984687621070007736545423497664561328021431724610701546216404617378482430012250501570615943401578982080506076769832652507152405736776547798484199793855083886292871232200845232495621316212008631150630637200674231930825168230675338599383175631898350936849994390285396169009688973265956566892637119870797693770666406897622252637699288058771357506887489883794998676544335511258412711905702628759419768733162231006244581142995429064028424168117929926575074619268463715407835386598047616539329060802475295244558338242799489177019174893926706120959167629961478305872370924516869408855774503555708458767136577171423164681753839764562822312731035263799653067173040733537187030902673807545897840152118090525503525020123372160169305231786308E+8673
